Asset,Order Type,Type,Side,Qty,Filled Qty,Avg. Fill Price,Status,Source,Submitted At,Filled At,Expires At
COIN,Market,market,buy,12,12,351.5076,filled,access_key,"Oct 30, 2025, 8:21:29 AM","Oct 30, 2025, 8:21:29 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Limit @ $206.91,limit,sell,22,22,206.91,filled,access_key,"Oct 30, 2025, 8:21:26 AM","Oct 30, 2025, 8:25:24 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Market,market,buy,22,22,206.2983,filled,access_key,"Oct 30, 2025, 8:21:26 AM","Oct 30, 2025, 8:21:26 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Limit @ $199.06,limit,sell,24,24,199.06,filled,access_key,"Oct 30, 2025, 8:21:23 AM","Oct 30, 2025, 8:22:10 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Market,market,buy,24,24,198.5532,filled,access_key,"Oct 30, 2025, 8:21:23 AM","Oct 30, 2025, 8:21:23 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Market,market,buy,11,11,460.7897,filled,access_key,"Oct 30, 2025, 8:21:21 AM","Oct 30, 2025, 8:21:21 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Market,market,buy,20,20,263.8886,filled,access_key,"Oct 30, 2025, 8:21:18 AM","Oct 30, 2025, 8:21:18 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Stop @ $351.18,stop,sell,13,13,351.355,filled,access_key,"Oct 30, 2025, 8:20:30 AM","Oct 30, 2025, 8:20:30 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Stop @ $460.52,stop,sell,11,11,460.5876,filled,access_key,"Oct 30, 2025, 8:20:22 AM","Oct 30, 2025, 8:20:22 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Market,market,buy,13,13,351.535,filled,access_key,"Oct 30, 2025, 8:18:50 AM","Oct 30, 2025, 8:18:50 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Limit @ $206.75,limit,sell,24,24,206.75,filled,access_key,"Oct 30, 2025, 8:18:47 AM","Oct 30, 2025, 8:22:12 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Market,market,buy,24,24,206.1733,filled,access_key,"Oct 30, 2025, 8:18:47 AM","Oct 30, 2025, 8:18:47 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Market,market,buy,11,11,460.875,filled,access_key,"Oct 30, 2025, 8:18:44 AM","Oct 30, 2025, 8:18:44 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Limit @ $263.76,limit,sell,21,21,263.76,filled,access_key,"Oct 30, 2025, 8:18:41 AM","Oct 30, 2025, 8:19:08 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Market,market,buy,21,21,263.1633,filled,access_key,"Oct 30, 2025, 8:18:41 AM","Oct 30, 2025, 8:18:41 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Stop @ $460.86,stop,sell,11,11,460.8418,filled,access_key,"Oct 30, 2025, 8:17:25 AM","Oct 30, 2025, 8:17:25 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Stop @ $198.24,stop,sell,24,24,198.2333,filled,access_key,"Oct 30, 2025, 8:16:43 AM","Oct 30, 2025, 8:16:43 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Stop @ $263.30,stop,sell,19,19,263.2735,filled,access_key,"Oct 30, 2025, 8:14:37 AM","Oct 30, 2025, 8:14:37 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Stop @ $206.77,stop,sell,27,27,206.7504,filled,access_key,"Oct 30, 2025, 8:14:14 AM","Oct 30, 2025, 8:14:14 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Market,market,buy,24,24,198.4865,filled,access_key,"Oct 30, 2025, 8:14:03 AM","Oct 30, 2025, 8:14:03 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Market,market,buy,19,19,263.4945,filled,access_key,"Oct 30, 2025, 8:14:01 AM","Oct 30, 2025, 8:14:01 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Market,market,buy,11,11,461.395,filled,access_key,"Oct 30, 2025, 8:13:59 AM","Oct 30, 2025, 8:14:00 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Market,market,buy,27,27,206.98,filled,access_key,"Oct 30, 2025, 8:13:58 AM","Oct 30, 2025, 8:13:58 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Stop @ $262.04,stop,sell,17,17,262.0437,filled,access_key,"Oct 30, 2025, 8:10:02 AM","Oct 30, 2025, 8:10:02 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Stop @ $460.73,stop,sell,11,11,460.6555,filled,access_key,"Oct 30, 2025, 8:10:02 AM","Oct 30, 2025, 8:10:02 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Stop @ $198.28,stop,sell,25,25,198.2935,filled,access_key,"Oct 30, 2025, 8:09:51 AM","Oct 30, 2025, 8:09:51 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Market,market,buy,17,17,262.3631,filled,access_key,"Oct 30, 2025, 8:09:29 AM","Oct 30, 2025, 8:09:29 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Limit @ $206.96,limit,sell,23,23,206.96,filled,access_key,"Oct 30, 2025, 8:09:27 AM","Oct 30, 2025, 8:12:10 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Market,market,buy,23,23,206.8097,filled,access_key,"Oct 30, 2025, 8:09:26 AM","Oct 30, 2025, 8:09:26 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Market,market,buy,25,25,198.4999,filled,access_key,"Oct 30, 2025, 8:09:24 AM","Oct 30, 2025, 8:09:24 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Market,market,buy,11,11,461.22,filled,access_key,"Oct 30, 2025, 8:09:22 AM","Oct 30, 2025, 8:09:22 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Limit @ $355.06,limit,sell,16,16,355.06,filled,access_key,"Oct 30, 2025, 8:09:19 AM","Oct 30, 2025, 8:12:06 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Market,market,buy,16,16,354.1,filled,access_key,"Oct 30, 2025, 8:09:19 AM","Oct 30, 2025, 8:09:19 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Limit @ $352.91,limit,sell,14,14,352.91,filled,access_key,"Oct 30, 2025, 8:05:21 AM","Oct 30, 2025, 8:06:00 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Market,market,buy,14,14,351.865,filled,access_key,"Oct 30, 2025, 8:05:21 AM","Oct 30, 2025, 8:05:21 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Limit @ $460.81,limit,sell,11,11,460.81,filled,access_key,"Oct 30, 2025, 8:05:18 AM","Oct 30, 2025, 8:06:03 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Market,market,buy,11,11,459.435,filled,access_key,"Oct 30, 2025, 8:05:18 AM","Oct 30, 2025, 8:05:18 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Limit @ $206.40,limit,sell,25,25,206.4,filled,access_key,"Oct 30, 2025, 8:05:16 AM","Oct 30, 2025, 8:06:01 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Market,market,buy,25,25,205.8033,filled,access_key,"Oct 30, 2025, 8:05:16 AM","Oct 30, 2025, 8:05:16 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Limit @ $262.28,limit,sell,21,21,262.28,filled,access_key,"Oct 30, 2025, 8:05:14 AM","Oct 30, 2025, 8:06:01 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Market,market,buy,21,21,261.4958,filled,access_key,"Oct 30, 2025, 8:05:14 AM","Oct 30, 2025, 8:05:14 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Stop @ $197.07,stop,sell,28,28,197.06,filled,access_key,"Oct 30, 2025, 8:04:23 AM","Oct 30, 2025, 8:04:23 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Market,market,buy,28,28,197.24,filled,access_key,"Oct 30, 2025, 8:04:14 AM","Oct 30, 2025, 8:04:14 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Stop @ $197.40,stop,sell,24,24,197.3802,filled,access_key,"Oct 30, 2025, 8:03:41 AM","Oct 30, 2025, 8:03:41 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Stop @ $351.80,stop,sell,12,12,351.7134,filled,access_key,"Oct 30, 2025, 8:03:37 AM","Oct 30, 2025, 8:03:38 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Stop @ $459.17,stop,sell,11,11,459.18,filled,access_key,"Oct 30, 2025, 8:03:32 AM","Oct 30, 2025, 8:03:33 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Stop @ $206.08,stop,sell,27,27,206.0833,filled,access_key,"Oct 30, 2025, 8:03:31 AM","Oct 30, 2025, 8:03:31 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Stop @ $261.80,stop,sell,19,19,261.82,filled,access_key,"Oct 30, 2025, 8:03:29 AM","Oct 30, 2025, 8:03:29 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Market,market,buy,12,12,352.3122,filled,access_key,"Oct 30, 2025, 8:03:26 AM","Oct 30, 2025, 8:03:26 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Market,market,buy,24,24,197.6365,filled,access_key,"Oct 30, 2025, 8:03:24 AM","Oct 30, 2025, 8:03:24 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Market,market,buy,19,19,262.16,filled,access_key,"Oct 30, 2025, 8:03:22 AM","Oct 30, 2025, 8:03:22 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Market,market,buy,11,11,459.58,filled,access_key,"Oct 30, 2025, 8:03:20 AM","Oct 30, 2025, 8:03:20 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Market,market,buy,27,27,206.2999,filled,access_key,"Oct 30, 2025, 8:03:18 AM","Oct 30, 2025, 8:03:18 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Stop @ $197.20,stop,sell,28,28,197.225,filled,access_key,"Oct 30, 2025, 8:02:15 AM","Oct 30, 2025, 8:02:15 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Stop @ $458.85,stop,sell,11,11,458.8708,filled,access_key,"Oct 30, 2025, 8:01:03 AM","Oct 30, 2025, 8:01:03 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Stop @ $206.47,stop,sell,24,24,206.4368,filled,access_key,"Oct 30, 2025, 7:59:33 AM","Oct 30, 2025, 7:59:33 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Stop @ $261.63,stop,sell,18,18,261.6004,filled,access_key,"Oct 30, 2025, 7:59:25 AM","Oct 30, 2025, 7:59:25 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Limit @ $353.64,limit,sell,13,13,353.64,filled,access_key,"Oct 30, 2025, 7:58:43 AM","Oct 30, 2025, 8:00:23 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Market,market,buy,13,13,352.58,filled,access_key,"Oct 30, 2025, 7:58:43 AM","Oct 30, 2025, 7:58:43 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Market,market,buy,18,18,261.8992,filled,access_key,"Oct 30, 2025, 7:58:40 AM","Oct 30, 2025, 7:58:40 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Market,market,buy,24,24,206.7033,filled,access_key,"Oct 30, 2025, 7:58:38 AM","Oct 30, 2025, 7:58:38 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Market,market,buy,11,11,459.315,filled,access_key,"Oct 30, 2025, 7:58:35 AM","Oct 30, 2025, 7:58:35 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Market,market,buy,28,28,197.43,filled,access_key,"Oct 30, 2025, 7:58:32 AM","Oct 30, 2025, 7:58:32 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Stop @ $259.58,stop,sell,25,25,259.5581,filled,access_key,"Oct 30, 2025, 7:37:42 AM","Oct 30, 2025, 7:37:42 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Stop @ $205.54,stop,sell,35,35,205.53,filled,access_key,"Oct 30, 2025, 7:36:48 AM","Oct 30, 2025, 7:36:48 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Stop @ $456.59,stop,sell,14,14,456.6321,filled,access_key,"Oct 30, 2025, 7:36:47 AM","Oct 30, 2025, 7:36:47 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Stop @ $195.50,stop,sell,30,30,195.4707,filled,access_key,"Oct 30, 2025, 7:36:44 AM","Oct 30, 2025, 7:36:44 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Stop @ $348.47,stop,sell,13,13,349.095,filled,access_key,"Oct 30, 2025, 7:36:32 AM","Oct 30, 2025, 7:36:32 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Market,market,buy,13,13,349.78,filled,access_key,"Oct 30, 2025, 7:36:29 AM","Oct 30, 2025, 7:36:29 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Market,market,buy,30,30,195.7814,filled,access_key,"Oct 30, 2025, 7:36:27 AM","Oct 30, 2025, 7:36:27 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Market,market,buy,25,25,260.12,filled,access_key,"Oct 30, 2025, 7:36:25 AM","Oct 30, 2025, 7:36:25 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Market,market,buy,14,14,458.05,filled,access_key,"Oct 30, 2025, 7:36:22 AM","Oct 30, 2025, 7:36:22 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Market,market,buy,35,35,205.894,filled,access_key,"Oct 30, 2025, 7:36:20 AM","Oct 30, 2025, 7:36:20 AM","Oct 30, 2025, 9:00:00 AM"
GOOGL,Stop @ $272.16,stop,sell,14,14,272.175,filled,access_key,"Oct 30, 2025, 7:35:33 AM","Oct 30, 2025, 7:35:33 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Stop @ $206.51,stop,sell,34,34,206.51,filled,access_key,"Oct 30, 2025, 7:35:28 AM","Oct 30, 2025, 7:35:28 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Stop @ $459.81,stop,sell,13,13,459.7732,filled,access_key,"Oct 30, 2025, 7:35:28 AM","Oct 30, 2025, 7:35:28 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Stop @ $261.44,stop,sell,23,23,261.44,filled,access_key,"Oct 30, 2025, 7:35:26 AM","Oct 30, 2025, 7:35:26 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Limit @ $353.32,limit,sell,12,12,353.32,filled,access_key,"Oct 30, 2025, 7:28:23 AM","Oct 30, 2025, 7:33:55 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Market,market,buy,12,12,351.56,filled,access_key,"Oct 30, 2025, 7:28:23 AM","Oct 30, 2025, 7:28:23 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Limit @ $197.73,limit,sell,29,29,197.73,filled,access_key,"Oct 30, 2025, 7:28:21 AM","Oct 30, 2025, 7:33:49 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Market,market,buy,29,29,196.7554,filled,access_key,"Oct 30, 2025, 7:28:21 AM","Oct 30, 2025, 7:28:21 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Market,market,buy,23,23,261.9795,filled,access_key,"Oct 30, 2025, 7:28:19 AM","Oct 30, 2025, 7:28:19 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Market,market,buy,13,13,460.67,filled,access_key,"Oct 30, 2025, 7:28:17 AM","Oct 30, 2025, 7:28:17 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Market,market,buy,34,34,206.9293,filled,access_key,"Oct 30, 2025, 7:28:15 AM","Oct 30, 2025, 7:28:15 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Stop @ $206.55,stop,sell,26,26,206.5334,filled,access_key,"Oct 30, 2025, 7:26:26 AM","Oct 30, 2025, 7:26:26 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Stop @ $206.88,stop,sell,32,32,206.8801,filled,access_key,"Oct 30, 2025, 7:23:41 AM","Oct 30, 2025, 7:23:41 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Stop @ $261.42,stop,sell,22,22,261.4311,filled,access_key,"Oct 30, 2025, 7:23:35 AM","Oct 30, 2025, 7:23:35 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Stop @ $196.71,stop,sell,27,27,196.6937,filled,access_key,"Oct 30, 2025, 7:21:43 AM","Oct 30, 2025, 7:21:43 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Stop @ $459.92,stop,sell,12,12,460.0012,filled,access_key,"Oct 30, 2025, 7:21:30 AM","Oct 30, 2025, 7:21:30 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Stop @ $352.47,stop,sell,11,11,352.1613,filled,access_key,"Oct 30, 2025, 7:21:24 AM","Oct 30, 2025, 7:21:24 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Market,market,buy,11,11,353.0915,filled,access_key,"Oct 30, 2025, 7:20:25 AM","Oct 30, 2025, 7:20:25 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Market,market,buy,27,27,197.1325,filled,access_key,"Oct 30, 2025, 7:20:23 AM","Oct 30, 2025, 7:20:23 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Market,market,buy,22,22,261.94,filled,access_key,"Oct 30, 2025, 7:20:21 AM","Oct 30, 2025, 7:20:21 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Market,market,buy,12,12,460.77,filled,access_key,"Oct 30, 2025, 7:20:20 AM","Oct 30, 2025, 7:20:20 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Market,market,buy,32,32,207.28,filled,access_key,"Oct 30, 2025, 7:20:18 AM","Oct 30, 2025, 7:20:18 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Stop @ $206.90,stop,sell,31,31,206.8834,filled,access_key,"Oct 30, 2025, 7:15:13 AM","Oct 30, 2025, 7:15:13 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Stop @ $261.35,stop,sell,21,21,261.3109,filled,access_key,"Oct 30, 2025, 7:14:12 AM","Oct 30, 2025, 7:14:12 AM","Oct 30, 2025, 9:00:00 AM"
GOOGL,Stop @ $272.30,stop,sell,12,12,272.32,filled,access_key,"Oct 30, 2025, 7:13:32 AM","Oct 30, 2025, 7:13:32 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Stop @ $459.88,stop,sell,12,12,459.86,filled,access_key,"Oct 30, 2025, 7:13:01 AM","Oct 30, 2025, 7:13:01 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Stop @ $197.36,stop,sell,26,26,197.3296,filled,access_key,"Oct 30, 2025, 7:12:54 AM","Oct 30, 2025, 7:12:54 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Stop @ $353.00,stop,sell,11,11,352.7908,filled,access_key,"Oct 30, 2025, 7:12:49 AM","Oct 30, 2025, 7:12:49 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Market,market,buy,11,11,353.788,filled,access_key,"Oct 30, 2025, 7:12:29 AM","Oct 30, 2025, 7:12:29 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Market,market,buy,26,26,197.7774,filled,access_key,"Oct 30, 2025, 7:12:27 AM","Oct 30, 2025, 7:12:27 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Market,market,buy,21,21,261.906,filled,access_key,"Oct 30, 2025, 7:12:25 AM","Oct 30, 2025, 7:12:25 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Market,market,buy,12,12,460.83,filled,access_key,"Oct 30, 2025, 7:12:23 AM","Oct 30, 2025, 7:12:23 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Market,market,buy,31,31,207.2866,filled,access_key,"Oct 30, 2025, 7:12:21 AM","Oct 30, 2025, 7:12:21 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Stop @ $196.81,stop,sell,23,23,196.7703,filled,access_key,"Oct 30, 2025, 7:05:20 AM","Oct 30, 2025, 7:05:20 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Stop @ $351.69,stop,sell,11,11,351.58,filled,access_key,"Oct 30, 2025, 7:05:13 AM","Oct 30, 2025, 7:05:13 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Stop @ $261.19,stop,sell,19,19,261.21,filled,access_key,"Oct 30, 2025, 7:05:10 AM","Oct 30, 2025, 7:05:10 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Stop @ $261.31,stop,sell,17,17,261.2945,filled,access_key,"Oct 30, 2025, 7:05:10 AM","Oct 30, 2025, 7:05:10 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Stop @ $351.94,stop,sell,4,4,352.385,filled,access_key,"Oct 30, 2025, 7:04:41 AM","Oct 30, 2025, 7:04:41 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Stop @ $460.01,stop,sell,10,10,460.0772,filled,access_key,"Oct 30, 2025, 7:04:37 AM","Oct 30, 2025, 7:04:37 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Stop @ $460.07,stop,sell,4,4,460.1188,filled,access_key,"Oct 30, 2025, 7:04:36 AM","Oct 30, 2025, 7:04:36 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Stop @ $460.06,stop,sell,6,6,460.1236,filled,access_key,"Oct 30, 2025, 7:04:36 AM","Oct 30, 2025, 7:04:36 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Stop @ $460.10,stop,sell,3,3,460.0949,filled,access_key,"Oct 30, 2025, 7:04:35 AM","Oct 30, 2025, 7:04:35 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Stop @ $460.18,stop,sell,6,6,460.2925,filled,access_key,"Oct 30, 2025, 7:04:35 AM","Oct 30, 2025, 7:04:35 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Stop @ $460.23,stop,sell,3,3,460.2404,filled,access_key,"Oct 30, 2025, 7:04:35 AM","Oct 30, 2025, 7:04:35 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Stop @ $460.28,stop,sell,10,10,460.28,filled,access_key,"Oct 30, 2025, 7:04:35 AM","Oct 30, 2025, 7:04:35 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Market,market,buy,11,11,352.66,filled,access_key,"Oct 30, 2025, 7:04:33 AM","Oct 30, 2025, 7:04:33 AM","Oct 30, 2025, 9:00:00 AM"
GOOGL,Market,market,buy,12,12,272.84,filled,access_key,"Oct 30, 2025, 7:04:31 AM","Oct 30, 2025, 7:04:31 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Market,market,buy,23,23,197.2785,filled,access_key,"Oct 30, 2025, 7:04:29 AM","Oct 30, 2025, 7:04:29 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Market,market,buy,19,19,261.655,filled,access_key,"Oct 30, 2025, 7:04:27 AM","Oct 30, 2025, 7:04:27 AM","Oct 30, 2025, 9:00:00 AM"
TSLA,Market,market,buy,10,10,460.775,filled,access_key,"Oct 30, 2025, 7:04:25 AM","Oct 30, 2025, 7:04:25 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Market,market,buy,26,26,207.0327,filled,access_key,"Oct 30, 2025, 7:04:23 AM","Oct 30, 2025, 7:04:23 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Stop @ $352.04,stop,sell,7,7,352.0679,filled,access_key,"Oct 30, 2025, 7:04:11 AM","Oct 30, 2025, 7:04:11 AM","Oct 30, 2025, 9:00:00 AM"
COIN,Stop @ $352.05,stop,sell,8,8,352.165,filled,access_key,"Oct 30, 2025, 7:04:11 AM","Oct 30, 2025, 7:04:11 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Stop @ $261.39,stop,sell,13,13,261.3684,filled,access_key,"Oct 30, 2025, 7:03:24 AM","Oct 30, 2025, 7:03:24 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Stop @ $261.40,stop,sell,6,6,261.3719,filled,access_key,"Oct 30, 2025, 7:03:24 AM","Oct 30, 2025, 7:03:24 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Stop @ $197.18,stop,sell,8,8,197.1528,filled,access_key,"Oct 30, 2025, 7:03:10 AM","Oct 30, 2025, 7:03:10 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Stop @ $261.43,stop,sell,8,8,261.5503,filled,access_key,"Oct 30, 2025, 7:03:09 AM","Oct 30, 2025, 7:03:09 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Stop @ $261.53,stop,sell,14,14,261.5,filled,access_key,"Oct 30, 2025, 7:03:08 AM","Oct 30, 2025, 7:03:08 AM","Oct 30, 2025, 9:00:00 AM"
AMD,Stop @ $261.50,stop,sell,9,9,261.545,filled,access_key,"Oct 30, 2025, 7:03:08 AM","Oct 30, 2025, 7:03:08 AM","Oct 30, 2025, 9:00:00 AM"
NVDA,Stop @ $206.85,stop,sell,11,11,206.8469,filled,access_key,"Oct 30, 2025, 7:03:08 AM","Oct 30, 2025, 7:03:08 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Stop @ $197.42,stop,sell,18,18,197.4448,filled,access_key,"Oct 30, 2025, 7:03:03 AM","Oct 30, 2025, 7:03:03 AM","Oct 30, 2025, 9:00:00 AM"
PLTR,Stop @ $197.48,stop,sell,11,11,197.4435,filled,access_key,"Oct 30, 2025, 7:03:03 AM","Oct 30, 2025, 7:03:03 AM","Oct 30, 2025, 9:00:00 AM"
